id,list_price,name,price_type,max_value,standard_price,grid_id/id,variable_factor,operator,type
delivery_grid.price_list_line_1_1,0.00,Franco si plus de 10 000 €,fixed,10000,0.00,delivery_grid.price_list_1,weight,>=,price
delivery_grid.price_list_line_1_2,60.00,60 € jusqu'à 1499 €,fixed,1499.99,0.00,delivery_grid.price_list_1,weight,<=,price
delivery_grid.price_list_line_1_3,120.00,120 € jusqu'à 2999 €,fixed,2999.99,0.00,delivery_grid.price_list_1,weight,<=,price
delivery_grid.price_list_line_1_4,180.00,180 € jusqu'à 9999 €,fixed,9999.99,0.00,delivery_grid.price_list_1,weight,<=,price
delivery_grid.price_list_line_2_1,0.00,Franco si plus de 10 000 €,fixed,10000,0.00,delivery_grid.price_list_2,weight,>=,price
delivery_grid.price_list_line_2_2,100.00,100 € jusqu'à 1499 €,fixed,1499.99,0.00,delivery_grid.price_list_2,weight,<=,price
delivery_grid.price_list_line_2_3,160.00,160 € jusqu'à 2999 €,fixed,2999.99,0.00,delivery_grid.price_list_2,weight,<=,price
delivery_grid.price_list_line_2_4,220.00,220 € jusqu'à 9999 €,fixed,9999.99,0.00,delivery_grid.price_list_2,weight,<=,price
