id,name,location_id/id,usage,active,comment,chained_journal_id/id,chained_location_type,chained_location_id/id,chained_picking_type,chained_auto_packing
stock.stock_location_company,IPBox,stock.stock_location_locations,view,True,,,none,,,manual
stock.stock_location_stock,SD Dépôt,stock.stock_location_company,internal,True,Stock Disponible Dépôt,stock.journal_reception,none,,,manual
stock.stock_location_output,Sortie,stock.stock_location_company,internal,True,Sortie vers client,stock.journal_delivery,customer,,,transparent
stock.stock_rc_dpt,Réception,stock.stock_location_company,internal,True,Réception Dépôt,stock.journal_interne,fixed,stock.stock_location_stock,internal,transparent
