id,name,parent_id/id,type,property_account_income_categ/id,property_account_expense_categ/id
product.product_category_ipb_1,Composants,product.product_category_all,normal,account.account_account_707100,account.account_account_607100
product.product_category_ipb_2,Ipbox,product.product_category_all,normal,account.account_account_707100,account.account_account_607100
product.product_category_ipb_3,Iprack,product.product_category_all,normal,account.account_account_707100,account.account_account_607100
product.product_category_ipb_4,Services,product.product_category_all,normal,account.account_account_706000,account.account_account_604000
