id,code,name,parent_id/id,active,reconcile,user_type/id,type,child_consol_ids/id,note
account.account_account_408100,408100,Fournisseurs,account.account_account_408,True,True,account.data_account_type_payable,Payable,,
account.account_account_408400,408400,Fournisseurs d'immobilisations ,account.account_account_408,True,True,account.data_account_type_payable,Payable,,
account.account_account_408800,408800,Fournisseurs - Intérêts courus,account.account_account_408,True,True,account.data_account_type_payable,Payable,,
account.account_account_409,409,Fournisseurs débiteurs,account.account_account_40,True,True,account.data_account_type_view,View,,
account.account_account_409100,409100,Fournisseurs - Avances et acomptes versés sur commandes,account.account_account_409,True,True,account.data_account_type_asset,Regular,,
account.account_account_409600,409600,Fournisseurs - Créances pour emballages et matériel à rendre,account.account_account_409,True,True,account.data_account_type_asset,Regular,,
account.account_account_4097,4097,Fournisseurs - Autres avoirs,account.account_account_409,True,True,account.data_account_type_view,View,,
account.account_account_409710,409710,Fournisseurs d'exploitation,account.account_account_4097,True,True,account.data_account_type_asset,Regular,,
account.account_account_409740,409740,Fournisseurs d'immobilisations,account.account_account_4097,True,True,account.data_account_type_asset,Regular,,
account.account_account_409800,409800,"Rabais, remises, ristournes à obtenir et autres avoirs non encore reçus",account.account_account_409,True,True,account.data_account_type_asset,Regular,,
account.account_account_41,41,Clients et comptes rattachés,account.account_account_Classe_4,True,True,account.data_account_type_view,View,,
account.account_account_410000,410000,Clients et comptes rattachés ,account.account_account_41,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_411,411,Clients,account.account_account_41,True,True,account.data_account_type_view,View,,
account.account_account_411100,411100,Clients - Ventes de biens ou de prestations de services,account.account_account_411,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_411110,411110,Clients CE - Ventes de biens ou de prestations de services,account.account_account_411,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_411120,411120,Clients hors CE - Ventes de biens ou de prestations de services,account.account_account_411,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_411700,411700,Clients - Retenues de garantie,account.account_account_411,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_413000,413000,Clients - Effets à recevoir,account.account_account_41,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_416000,416000,Clients douteux ou litigieux,account.account_account_41,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_418,418,Clients - Produits non encore facturés,account.account_account_41,True,True,account.data_account_type_view,View,,
account.account_account_418100,418100,Clients - Factures à établir ,account.account_account_418,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_418800,418800,Clients - Intérêts courus,account.account_account_418,True,True,account.data_account_type_receivable,Receivable,,
account.account_account_419,419,Clients créditeurs,account.account_account_41,True,True,account.data_account_type_view,View,,
account.account_account_419100,419100,Clients - Avances et acomptes reçus sur commandes,account.account_account_419,True,True,account.data_account_type_asset,Regular,,
account.account_account_419600,419600,Clients - Dettes pour emballages et matériels consignés ,account.account_account_419,True,True,account.data_account_type_asset,Regular,,
account.account_account_419700,419700,Clients - Autres avoirs ,account.account_account_419,True,True,account.data_account_type_asset,Regular,,
account.account_account_419800,419800,"Rabais, remises, ristournes à accorder et autres avoirs à établir",account.account_account_419,True,True,account.data_account_type_asset,Regular,,
