id,default_code,name,categ_id/id,uom_id/id,uom_po_id/id,uos_id/id,type,sale_ok,cost_method,standard_price,list_price,purchase_ok,procure_method,supply_method,valuation,property_account_expense/id,property_account_income/id,supplier_taxes_id/id,taxes_id/id
product.fraisportaf,FRPORTAF,Frais de Port Facturable,product.product_category_ipb_4,product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,service,true,standard,0,0,true,make_to_stock,buy,manual_periodic,account.account_account_708500,account.account_account_608170,,
product.fraisport,FRPORT,Frais de Port,product.product_category_ipb_4,product.product_uom_unit,product.product_uom_unit,product.product_uom_unit,service,false,standard,0,0,true,make_to_stock,buy,manual_periodic,account.account_account_708500,account.account_account_608180,,
