id,position_id/id,account_src_id/id,account_dest_id/id
account.account_fiscal_position_1_account_1,account.account_fiscal_position_1,account.account_account_411100,account.account_account_411110
account.account_fiscal_position_1_account_2,account.account_fiscal_position_1,account.account_account_707100,account.account_account_707200
account.account_fiscal_position_1_account_3,account.account_fiscal_position_1,account.account_account_607100,account.account_account_607200
account.account_fiscal_position_2_account_1,account.account_fiscal_position_2,account.account_account_411100,account.account_account_411120
account.account_fiscal_position_2_account_2,account.account_fiscal_position_2,account.account_account_707100,account.account_account_707300
account.account_fiscal_position_2_account_3,account.account_fiscal_position_2,account.account_account_607100,account.account_account_607300
