id,name,location_id/id,usage,active,comment,chained_journal_id/id,chained_location_type,chained_location_id/id,chained_picking_type,chained_auto_packing
stock.stock_location_company,NOEMIS,stock.stock_location_locations,view,True,,,none,,,manual
stock.stock_location_stock,SD Dépôt,stock.stock_location_company,internal,True,Stock Disponible Dépôt,,none,,,manual
stock.stock_location_output,Sortie,stock.stock_location_company,internal,True,Sortie vers client,,customer,,,transparent
stock.stock_rc_dpt,Réception,stock.stock_location_company,internal,True,Réception Dépôt,,fixed,stock.stock_location_stock,in,transparent
stock.stock_spare_parts,Prêt – Pièces Détachées,stock.stock_location_company,internal,True,,,none,,,manual
stock.stock_after_sale,SAV,stock.stock_location_company,internal,True,,,none,,,manual
